,Question Number,Question,Number,Answer Number,Answer
10,Question 4.19,"You are dealt exactly two playing cards from a well-shuﬄed stan-
dard 52-card deck. The standard deck contains exactly four Kings. What is
the probability that both of your cards are Kings?
Story: It is many years ago now, but I know of a well-qualiﬁed MIT student
who got a job oﬀer of $X from a well-known ﬁrm (a good oﬀer at that time).
He declined, telling them that they had misjudged him. They called him
back a couple of days later and oﬀered him $ X×1.67 instead! Amazing! He
took the job.",4.19,Answer 4.19,"The naive answer is that the probability is just2
52≈4%. This
is incorrect. There are four chances that the ﬁrst card dealt to you (out of a
deck of 52) is a King. Conditional on the ﬁrst card being a King, there are
three chances that the second card dealt to you (out of the remaining deck of
51) is a King. Conditional probability says that
P(Both are Kings) =
P(Second is a King |First is a King) ×P(First is a King)
where “ |”i sr e a da s“ c o n d i t i o n a lu p o n , ”o r“ g i v e n . ”T h i si sas p e c i a lc a s eo f
the more general conditional probability result:
P(A∩B)=P(A|B)×P(B)
Thus, P(Both are Kings) =3
51×4
52=1
17×1
13=1
221≈0.5%. Therefore, you
have roughly one chance in 200 of getting exactly two Kings dealt to you.13
Iw i s hy o ut oa v o i dac o m m o nf o r mo fc o n f u s i o n . P l e a s en o t et h a ta l t h o u g h
you multiply probabilities to get the answer, and such multiplication is often
done when dealing with independent events, the events here (King on ﬁrst
13I thank Arta Babaee for pointing out that this answer is identical to/p⎬renleft⎭ig4
2/p⎬renright⎭ig/sl⎬sh⎭ig/p⎬renleft⎭ig52
2/p⎬renright⎭ig
=4!/(2!2!)
52!/(2!50!)=
4
52×3
51.T h a ti s ,o fa l lp o s s i b l ep a i r so fc a r d sy o um i g h tb ed e a l t ,h o wm a n yw a y sa r et h e r et og e t
a pair of kings.
©2021 Timothy Falcon Crack 305 All Rights Reserved Worldwide"
11,Question 4.2,"Suppose we draw two random numbers XandYeach distributed
uniform on the interval [0 ,1]. If XandYare independent, what is the prob-
ability that their product is greater than 1/2?",4.2,Answer 4.2,"Imagine the surface f(x, y)=x·yplotted above the unit square.
We need to ﬁnd the area of that part of the domain where f(x, y)=x·y>1/2.
If we project this down onto the x–yspace, we need only ﬁnd the area within
the unit square above the isovalue curve x·y=1 / 2 . T h a ti s ,w en e e dt h e
area within the unit square that is above y=1 / ( 2 x).
Aq u i c ks k e t c hs h o w st h a tt h i sa r e ai so n l yi nt h et o p - r i g h tq u a r t e ro ft h e
unit square. Given the function’s concavity, the area must be slightly greater
than one-half of one-quarter of one. So, my initial ballpark guess is a number
slightly greater than 0.125.
©2021 Timothy Falcon Crack 288 All Rights Reserved Worldwide"
12,Question 4.20,"/_387 (**) This is one version of the famous “Let’s Make a Deal” or
“Monty Hall” game show question. It is your turn to be on a weekly game
show. There are three doors. You know that there is a prize behind one of
them, and nothing behind the other two. The game show host tells you that
you shall receive whatever is behind the door of your choice. However, before
4In similar vein, suppose you had two children, one apple, and a biased coin. How do you use
the biased coin to fairly pick which child gets the apple?
©2021 Timothy Falcon Crack 80 All Rights Reserved Worldwide",4.2,Answer 4.20,"The “Let’s Make a Deal” or “Monty Hall” problem is very fre-
quently asked. Many people ﬁnd it very diﬃcult.
Assume that you choose Door 3. The host opens Door 2 and oﬀers you the
chance to switch to Door 1. Should you do it? If you have decided that it
does not matter whether you switch doors or not (indiﬀerence), or that you
should deﬁnitely not switch (aversion), then you should go back and think
again before reading any further. Stop here and try again.
Let me begin with very simple intuition. My experience, however, is that
many readers cannot accept the simple intuition, and for them I provide a
formal proof using Bayes’ Theorem.
SIMPLE INT UIT ION
Assume for a moment that you have already decided that you will switch
doors. What then is the probability that you will ﬁnd the prize behind the
door you switch to? Well, you win the prize if you originally chose one of the
two doors that has nothing behind it. In that case, the host shows you the
other empty door, and switching yields the prize. So, the problem reduces to
ﬁguring the probability that you originally chose one of the two doors that
has nothing behind it. That unconditional probability is just two thirds by
construction. You thus have probability two thirds that you win by switching
and one third that you lose by switching. So, you should switch!14
FORMAL BAYES′TH EO R EM P R O O F
If you are to play this game repeatedly, two-thirds of the time you proﬁt by
switching, and one-third of the time you lose by switching. Let Bkdenote the
14I thank Jun Chung for this simple argument; any errors are mine.
©2021 Timothy Falcon Crack 306 All Rights Reserved Worldwide"
13,Question 4.21,"(**) Now we will ask you the same question as the previous
one, except that when it comes time for the host to reveal an empty door,
he instead selects someone from the audience who chooses randomly and by
chance chooses a door that is revealed to be empty. Should you switch?
Note: There are two ways to interpret this question. You could assume that
the game can be played repeatedly with an audience member always revealing
ad o o rt ob ee m p t y ,o ry o uc o u l da s s u m eao n e - o ﬀg a m ew h e r et h ea u d i e n c e
member (ignorant of the prize’s location) just happens to have chosen an
empty door. Try answering both.
Story: A student interviewing with a top bulge bracket ﬁrm was asked how
he would move Mount Fuji. One of my colleagues suggested the answer “Call
Mohammed. ”",4.21,Answer 4.21,"There are two interpretations. If we assume that the game can
be played repeatedly with an audience member always revealing a door to
be empty, then we must also assume that the audience member knows the
location of the prize. Otherwise, how can he or she always reveal an empty
door in repeated play? In this case, if we make the same uniformly random
assumptions about prize placement and empty doors revealed as in the previ-
ous question, then the audience member is, in eﬀect, wearing the host’s hat,
and the argument is the same as in the previous question: You should always
switch.
Suppose instead that the host of this week’s show has, just for a one-oﬀ special
occasion (his 60th birthday, say), decided to let an audience member (who is
ignorant of the prize’s location) reveal another door. Suppose it just happens
to turn out to be empty. We cannot now talk about a frequentist approach and
repeated plays of the game because in repeated plays, the audience member
would reveal the prize one third of the time, and that is not the situation
we ﬁnd ourselves in. The ignorant audience member has, on this occasion,
just happened to show us an empty door. The audience member has blindly
removed one door from the sample space, and we have a 50/50 chance of
winning (and also of losing) if we switch. We are therefore indiﬀerent.
©2021 Timothy Falcon Crack 308 All Rights Reserved Worldwide"
14,Question 4.22,"You are presented with two empty jars and 100 marbles on a
table. There are 50 white marbles and 50 black marbles. You are to put all
100 of the marbles into the two jars in any way you choose. I will then blindfold
you. I will shake the jars up to ensure good mixing, and I will rearrange the
placing of the jars on the table so that you do not know which one is which.
You may then request either the “left-hand” or the “right-hand” jar. You get
to choose exactly one jar, you are allowed to withdraw at most one marble
from the jar, and you do not get a second chance if you are unhappy with your
choice.
5You can imagine variations of the problem where the host is not required to open another door
if doing so helps you, or where he does not open doors with equal likelihood. The solution may
diﬀer in those cases.
©2021 Timothy Falcon Crack 81 All Rights Reserved Worldwide",4.22,Answer 4.22,"This question is solved most eﬃciently by trying a few possible
combinations, not by some time-consuming feat of constrained linear opti-
mization. You should begin with extreme distributions, or with symmetrical
distributions. It is in the extremes or in symmetry that solutions to such
problems usually lie.
The probability of selecting a white marble is maximized (at almost3
4)b y
placing one white marble in one jar and the remaining 99 marbles in the
other. The probability of selecting a white marble is minimized (at1
4)b y
placing all 100 marbles in one jar (assuming you do not get a second chance
if the jar you choose is empty). If zero marbles in one jar is not an acceptable
answer to you, then you minimize the probability of a white marble (at just
over1
4)b ym a x i m i z i n gt h ep r o b a b i l i t yo fab l a c ko n e .T h a ti s ,p u to n eb l a c k
marble in one jar and the remaining 99 marbles in the other."
15,Question 4.23,"(***) Your name is Mr. 10. You are standing in a ﬁeld with
two opponents: Mr. 30 and Mr. 60. Each of you has a gun and plenty of
ammunition. Each of you is in clear sight of the others and well within ﬁring
range. The goal is to maximize the probability of survival. Unfortunately, you
are not a very good shot. If you take a shot at one of your opponents, you
have only a 10% chance of killing him. Mr. 30 is a better shot; he has a 30%
chance of killing whomever he shoots at. Mr. 60 is even better; he has a 60%
chance of killing his target. You take turns shooting in a pre-arranged order:
ﬁrst you, then Mr. 30, then Mr. 60, and then through this cycle again and
again until only one person remains.
You get to shoot ﬁrst. At whom, if anyone, do you shoot?7",4.23,Answer 4.23,"This is a tough “game theory” problem. Early editions of my
book included a full and formal solution to this problem. It was more than
ﬁve pages long and far too detailed. I have now cut my answer down to bare
bones key issues only.15
Mr. 30 and Mr. 60 are going to shoot at each other because they do not see
you as an immediate threat; you do not die ﬁrst because Mr. 60 and Mr. 30
are shooting it out; you do not want to be put into a shoot-out where your
opponent is a very good shot and gets to shoot ﬁrst; if Mr. 30 gets to shoot
before Mr. 60, it is less likely that you end up facing Mr. 60 than if Mr. 60
gets to shoot ﬁrst, so you shoot in the air; if the direction of play is reversed,
and Mr. 60 gets to shoot before Mr. 30, then you should help out Mr. 30 (and
yourself) by shooting at Mr. 60 also, otherwise, leave it to Mr. 30; the cost
of stepping in and shooting at Mr. 60 is that if you hit Mr. 60, you lose your
chance to shoot ﬁrst in the ﬁnal shootout with Mr. 30; the beneﬁt of stepping
in and shooting at Mr. 60 is that you increase the likelihood of your facing
Mr. 30 rather than Mr. 60 in the ﬁnal shoot-out; there is a delicate balance
between leaving it to Mr. 30 and stepping in to help him out, and it changes
with the direction of play. Finally, there is a slim chance that everyone shoots
at the sky, but this requires some sort of cooperation."
16,Question 4.24,"Basketball! Your team is down two points, you are the best
player, and you have the ball. There are only a few seconds left before the
buzzer. You can take a shot from three-point land or move up and take one
from two-point land. Historically, you have a 40% probability of getting the
shot in from three-point land and a 70% probability of getting the shot in from
two-point land.
Should you try for the three-point shot (a certain win if you make it), or
should you try for the two-point shot? Note that a two-pointer produces a tie
and puts you into overtime. We assume your team has a ﬁfty-ﬁfty chance of
winning in overtime.",4.24,Answer 4.24,"If you take the three-point shot, you have a 40% chance of winning.
If you take the two-point shot, you have a 70% chance of a tie, and conditional
on a tie you have a 50% chance of winning in overtime. Informally, the proba-
bility of winning if you take the two-point shot is thus 70% multiplied by 50%,
which is 35%. This is lower than for the 40% for the three-point shot, so you
should take the three-pointer.
More formally, let “ W”d e n o t ew inning, let “2” denote taking the two-point
shot, let “ T”d e n o t es i n k i n gt h et w o - p o i n t e ra n dg e t t i n gat ie, and let “ TC”
15It h a n kO l i v i e rL e d o i tf o rt h i ss o l u t i o nt e c h n i q u e ;a n ye r r o r sa r em i n e .
©2021 Timothy Falcon Crack 309 All Rights Reserved Worldwide"
17,Question 4.25,"Iw i l ls p i naf a i rr o u l e t t ew h e e lw i t ho n l yﬁ v es e c t i o n s . F o u ro f
the ﬁve sections pay $1; the ﬁfth pays $5.
1. If the cost is $1.50 per spin, and you may play as often as you want,
should you play the game?
2. If the cost is $1.50 per spin, and you may play exactly once, should you
play the game?",4.25,Answer 4.25,"This is one of the easier problems. If the cost is $1.50 per spin, and
you may play as often as you want, then yes, you should play. The expected
payoﬀ is $1.80 per spin (/summ⎬tiontexti=5
i=1Payoﬀi×1
5=$ 1.80). If you can play as often as
you want, you are risk-neutral (in the long run, your average payoﬀ will equal
the expected payoﬀ), and you expect to make $0.30 per spin on average.
If you get only one spin, then whether you play or not depends upon whether
the expected $0.30 gain is suﬃcient to compensate you for the risk of losing
$0.50 (the $1.50 cost less the $1.00 worst possible payoﬀ). With amounts
this small, you would probably take the bet. It is like spending $1.50 on a
lottery ticket—it is too small to care about. If the numbers were larger, say
everything multiplied by one billion, and if your job is lost if you lose, then
you are signiﬁcantly more risk-averse, and your boss would not want you to
take the bet."
18,Question 4.26,"If you like gambling and you like betting on the outcome of sports
matches, then you may like the “parlay card. ” A parlay card lets you bet on
the outcomes of more than one match. In order to win a parlay bet, you must
be correct on each of the matches you bet upon. Parlay cards oﬀer big payoﬀs
if you are right on every match (some even oﬀer a payoﬀ for “almost wins”).
6Can you answer the same question except that you are to minimize the probability of a white
marble? Does minimizing the probability of a white marble maximize the probability of a black
one?
7Does the answer change if the order is ﬁrst you, then Mr. 60, then Mr. 30, then you, and so
on?
©2021 Timothy Falcon Crack 82 All Rights Reserved Worldwide",4.26,Answer 4.26,"Assuming no special information on your part, each sports match
presents a ﬁfty-ﬁfty chance of winning. Assuming each match is independent
of each other, then winning is analogous to tossing a fair coin four times in
ar o wa n dt r y i n gt og e tf o u rh e a d s . T h i sp r o b a b i l i t yi so n l y/p⎬renleft⎜ig
1
2/p⎬renright⎜ig4=1
16.T h e
odds of winning are thus much worse than the odds oﬀered by the bookie, and
you should not play unless you are a risk-seeker. If the odds were raised to
25-to-1, this would be an attractive bet."
19,Question 4.27,"What is the standard deviation of (1 ,2,3,4,5)?",4.27,Answer 4.27,"This is a simple question, but, strictly speaking, it is not well
posed. You cannot ask for “the standard deviation of (1 ,2,3,4,5)” without
supplying further information. You should ask the interviewer which of the
following cases he or she means. The ﬁrst solution assumes we have drawn a
sample and we are estimating the population parameter. The second solution
assumes we are dealing with the full sample space and we are calculating the
true population parameter.
FIRST SOLUT ION
Perhaps the interviewer wants the standard deviation of these numbers assum-
ing they are a sample drawn from some data generating process. In that case,
we need to know whether they are sampled independently of each other and
whether the process is stable. If not, the answer can be quite diﬃcult. So, let
us assume that the observations are independent and identically distributed.
We can ﬁnd the sample standard deviation with and without a small sample
adjustment. The sample standard deviation without adjustment is just the square root of
the average of the sum of squared deviations from the mean. The mean is 3.
So, we get �? =
?1
5
%i=5
i=1(i ? 3)2 =
?10
5 = ?2 ? 1.4142. I expect you to know
?2 to four decimal places.
If we use the small sample adjustment,16 where we divide by N ?1, we instead
get �? =
?10
4 = ?2.5.
SECON D SOLUT ION
Perhaps the interviewer wants us to assume that (1, 2, 3, 4, 5) is the full sample
space of possible outcomes for a random variable, and that each is equally
likely. That is, a uniform discrete distribution from 1 to 5. In that case, the
standard deviation is just the square root of the expected squared deviation
from the mean, with the outcomes weighted by true probabilities.
The mean of (1, 2, 3, 4, 5) is 3. The squared deviations are 4, 1, 0, 1, 4,
each with probability 1
5 . The expected squared deviation is 2. The standard
deviation is thus ?2 ? 1.4142.
"
20,Question 4.28,"/_387 Welcome to your interview. Sit in this chair. Excuse me while
It i ey o u ra r m sa n dl e g st ot h ec h a i r . T h a n ky o u . N o ww ea r eg o i n gt op l a y
“Russian roulette. ” I have a revolver with six empty chambers. Watch me as
Il o a dt h ew e a p o nw i t ht w oc o n t i g u o u sr o u n d s( i . e . ,t w ob u l l e t ss i d e - b y - s i d ei n
the cylindrical barrel). Watch me as I spin the barrel. I am putting the gun
against your head. Close your eyes while I pull the trigger. Click! This is your
lucky day: you are still alive! Our game diﬀers from regular Russian roulette
because I am not going to add any bullets to the barrel before we continue,
and I am not going to give you the gun.
My question for you: I am going to shoot at you once more before we talk
about your resume. Do you want me to spin the barrel once more, or should
Ij u s ts h o o t ?9",4.28,Answer 4.28,"Given that no shot was ﬁred on the ﬁrst pull of the trigger, there
are four possible states of the world corresponding to where the ﬁring pin
struck most recently (as indicted in Figure D.4). If I do not spin the cylin-
2
3
41
Figure D.4: Russian Roulette: Revolver Cylinder
Note: The revolver cylinder is shown with two contiguous rounds
and four empty chambers. A direction of spin is indicated; it diﬀers
for diﬀerent revolver models, but does not change the conclusion.
der, only the ﬁrst possible state of the world has fatal implications for you
(i.e., there is only one chance in four of not having to discuss your CV). If I
spin the cylinder before I pull the trigger again, however, then both live rounds
16Note that Bessel’s correction (i.e., to divide by N−1 instead of N) gives us an unbiased variance
estimator, E(ˆσ2)=σ2,w h e nt h es a m p l ei si n d e p e n d e n ta n di d e n t i c a l l yd i s t r i b u t e d .N o t e ,h o w e v e r ,
that the standard deviation estimator is still biased (see further discussion in Crack [2020b]).
©2021 Timothy Falcon Crack 311 All Rights Reserved Worldwide"
21,Question 4.29,"You have a large jar containing 999 fair pennies and one two-
headed penny. Suppose you pick one coin out of the jar and ﬂip it 10 times
and get all heads. What is the probability that the coin you chose is the
two-headed one?",4.29,Answer 4.29,"Before we look at the formal math, let’s use some informal intu-
ition. There is one chance in a thousand (unconditionally) that you plucked
the two-headed coin (which would certainly explain 10 heads in a row). There
is also about one chance in a thousand that a fair coin would give 10 heads
in a row (because/p⎬renleft⎜ig
1
2/p⎬renright⎜ig10=1
1024≈1
1000). Looking at the event (10 heads), I’d
have to say that the coin is roughly equally likely to be two-headed or fair.
Now turn to the formal math – a direct application of Bayes’ Theorem. Let
“TH”d e n o t et h ee v e n tt h a ty o u rc o i ni st h et w o - h e a d e do n e . L e t“ 1 0 H”
denote the event that you toss one of the pennies and get 10 heads. Let Xc
denote the complement of an event X.T h e n
P(TH|10H)=P(TH∩10H)
P(10H)
=P(10H|TH)P(TH)
P(10H|TH)P(TH)+P(10H|THc)P(THc)
=1×1
1000/⎭r⎬cketleft⎜ig
1×1
1000/⎭r⎬cketright⎜ig
+/⎭r⎬cketleft⎭igg/p⎬renleft⎜ig
1
2/p⎬renright⎜ig10×999
1000/⎭r⎬cketright⎭igg≈1
2,
where I used the facts that 210=1 0 2 4 ≈1000, and999
1000≈1. So, given the 10
heads, you have about a half a chance that you have the two-headed coin—as
per our intuition."
22,Question 4.3,"Suppose that X∼N(µ, σ2)( i . e . , Xis normally distributed with
mean µand variance σ2). Please write down the pdf fX(x)o fX. Where does
the constant factor in the pdf come from?",4.3,Answer 4.3,"IfX∼N(µ, σ2),then fX(x)=1√
2πσe−1
2(x−µ
σ)2
.I n m y e x p e r i e n c e ,
the most common error is to leave the σout of the denominator of the initial
term. The constant factor ensures that the pdf integrates to 1."
23,Question 4.30,"/_387 Four cards are shuﬄed and placed face down in front of you.
Their faces (hidden) display the four elements: water, earth, wind, and ﬁre.
You are to turn the cards over one at a time until you either win or lose. You
win if you turn over water and earth. You lose if you turn over ﬁre. What is
the probability that you win?
Story: “In his ﬁrst meeting with me, a candidate made himself a little
toocomfortable. Not only did he liberally pepper his conversation with
profanities, he also pulled his chair right up to the edge of my desk and
started examining papers and knickknacks. ”
Nina Proct
Martin H. Bauman Associates, New York
“Doomed Days: The Worst Mistakes Recruiters Have Ever Seen,”
The Wall Street Journal ,F e b r u a r y2 5 ,1 9 9 5 ,p R 4 .
Reprinted by permission of The Wall Street Journal
©1995 Dow Jones and Company, Inc.
All Rights Reserved Worldwide.
8Should you take the bet if the odds are 25-to-1?
9Edward O. Thorp, when discussing gambling roulette, mentions as an aside that when playing
Russian roulette, the eﬀect of gravity on the bullet(s) will inﬂuence the position of the revolver’s
cylinder (Thorp, 2017, p. 126–127). Please ignore this eﬀect here.
©2021 Timothy Falcon Crack 83 All Rights Reserved Worldwide",4.3,Answer 4.30,"You win with probability 1 /3. Wind is eﬀectively absent from the
sample space—it does not aﬀect your chances of winning or losing. You lose
with probability 1 /3a tt h eﬁ r s tt u r n . Y o ut h u sh a v eo n l ya2 /3 possibility
of even getting to turn a second card. If you do get to turn the second card,
there is 50% chance that it will be Fire and you lose, and a 50% chance it will
not be, and you win. Thus the probability of winning is 50% of 2 /3.
Alternatively,17of the three cards that matter, you win if Fire is the last card
selected. The probability that one card out of nis the last selected in a random
sequence is 1/ n, which is 1/3 in this case."
24,Question 4.31,"Two players AandBplay a marble game. Each player has both
a red and a blue marble. They present one marble to each other. If both
present red, Awins $3. If both present blue, Awins $1. If the colors do not
match, Bwins $2. The winnings come from an external source, not from the
other player. Is it better to be A,o rB,o rd o e si tn o tm a t t e r ?",4.31,Answer 4.31,"Assuming that the players have ﬁfty-ﬁfty probabilities of playing
17It h a n kM a r kC a w s t o nf o rd i s c u s s i o n sr e g a r d i n gt h i sa n s w e r ;a n ye r r o r sa r em i n e .
©2021 Timothy Falcon Crack 312 All Rights Reserved Worldwide"
25,Question 4.32,"Ac o i n - m a k i n gm a c h i n ep r o d u c e sp e n n i e s . E a c hp e n n yi sm a n -
ufactured to have a probability Pof turning up heads. However, the machine
draws Prandomly from the uniform distribution on [0 ,1] so Pcan diﬀer for
each coin produced. A coin pops out of the machine. You ﬂip it once, and it
comes up heads. Given this information, what is the (conditional) distribu-
tion function FP|H(p)f o rt h ep r o b a b i l i t yo fah e a df o rt h a tc o i n( w h e r e“ H”
denotes conditioning on the head)?
What is the (conditional) distribution function for the probability of a head if
you ﬂip the coin 1,000 times and get 750 heads?",4.32,Answer 4.32,"We seek FP|H(p)=P(˜P≤p|H)=P(A|H), where “ A” denotes
the event that ˜P≤p,a n d“ H”d e n o t e st h ee v e n tt h a ty o ug e tah e a d .19I
put a tilde over the Pto emphasize that we are talking about the probability
of a probability. That is, the probability, ˜P, that we get a head is itself a
random variable; we are unsure of its value. So, there is a distribution of
possible values of p, and each corresponds to a particular possible degree of
bias in a coin. The probability of a probability is a “second-order probability”
(Peijnenburg and Atkinson, 2013).
We may apply Bayes’ Theorem, but we need to be mindful that when we
write “ P(H)” for example, this is not just the unconditional probability that
we get a head, which is the random variable ˜P,b u tr a t h e ri no u rc a s ei ti st o
be understood as the (unconditional) probability-weighted average probability
over all possible values of p.T h a t i s , w e a r e u n w i n d i n g ( o r “ r e g r e s s i n g ” ) o n e
level of probability, by exploiting the unconditional distribution and Bayes’
Theorem.
LetfP(p)≡1, 0≤p≤1d e n o t et h eu n c o n d i t i o n a lp d fo f ˜P.W ea p p l yB a y e s ’
Theorem directly for p∈[0,1] to get
FP|H(p)= P(A|H)
=P(A∩H)
P(H)
=/integr⎬ltextp′=p
p′=0p′fP(p′)dp′
/integr⎬ltextp′=1
p′=0p′fP(p′)dp′
=/p⎬renleft⎭igp2/sl⎬sh⎭ig2/p⎬renright⎭ig
(1/2)=p2.
18Recall that for a solution to be a Nash equilibrium, it has to be the case that no unilateral
change in strategy for any single player is proﬁtable to that player. A mixed strategy (Nash)
equilibrium exists where Bplays Red with probability1
4andAplays Red with probability1
2.I n
this case, the expected payoﬀ to playing Red equals the expected payoﬀ to playing Blue for each
player. A’s expected payoﬀ is3
4,w h e r e a s B’s is 1. Thus, Bis favored. I thank Alex Butler for this
argument; any errors are mine. If instead the winnings come out of the other player’s pocket, can
you show that a Nash equilibrium exists where each player plays Red with probability 3/8?
19It h a n kA v i s h a l o mS h a l i ta n dA l e xV i g o d n e rf o rd i s c u s s i o n sr e g a r d i n gt h i sa n s w e r ;a n ye r r o r s
are mine.
©2021 Timothy Falcon Crack 313 All Rights Reserved Worldwide"
26,Question 4.33,"Suppose that Xis distributed normal with mean 0 and variance
σ2.W h a ti s E(eX)?",4.33,Answer 4.33,"This is well known. More generally, if X∼N(µ, σ2), then E(eX)=
eµ+1
2σ2.IfXis normal, then eXis lognormal. So, this is the sort of knowl-
edge that arises in analytical Black-Scholes derivatives work, or in setting up
a Monte-Carlo simulation of price paths in a Black-Scholes world. See Crack
(2021, Section 2.2) for detailed discussion and examples. It is straightforward
to prove this from ﬁrst principles because the normal pdf has an e(·)kernel in
it, and you just have to add the exponents, complete the square, and integrate
out to see what is left over."
27,Question 4.34,"/_387 Two games are oﬀered to you. In Game One, you roll a die once
and you are paid $1 million times the number of dots on the upturned face of
the die. In Game Two, you roll a die one million times. For each roll you are
paid $1 times the number of dots on the upturned face of the die. You are
risk averse. Which game do you prefer?
Story: 1. Took a brush out of my purse, brushed his hair and left. 2. Pulled
out a Polaroid camera and snapped a ﬂash picture of me. Said he collected
photos of everyone who interviewed him.
Interview Horror Stories from Recruiters
Reprinted by kind permission of MBA Style Magazine
©1996–2021 MBA Style Magazine, www.mbastyle.com",4.34,Answer 4.34,"Both games have the same expected payoﬀ: $3.5 million. However,
the second game has much less volatility than the ﬁrst. The Weak Law of Large
Numbers says that your actual payoﬀ will be much closer to the expected payoﬀ
in Game Two. As a risk-averse individual, you choose Game Two."
28,Question 4.35,"In a survey of 1,000 people, 60% said they would vote for Can-
didate A for president (and 40% said they would vote for someone else). How
can you calculate a margin of error on the 60% estimate?",4.35,Answer 4.35,"The short answer is that it will be roughly ±1√1,000which is
roughly ±1√
900which is ±1
30which is roughly ±3%.
The long answer is still quite simple. Suppose you sample Npeople and record
a1i ft h e ys a yt h e yw i l lv o t ef o rC a n d i d a t eAa n da0o t h e r w i s e .Y o uh a v e N
binomial trials. Let Xidenote the outcome of the ithtrial, then
Xi=/⎭r⎬celeft⎜igg
1,with probability p,
0,with probability (1 −p).
LetY=/summ⎬tiontexti=N
i=1Xi,t h e n Y/ N is the estimator of p.I tf o l l o w st h a t
E(Y/ N)=E(Y)/N=i=N/summ⎬tiondispl⎬y
i=1E(Xi)/N=N·p/N=p,
and letting “ V(·)” denote variance, we have
V(Y/ N)=V(Y)/(N2)∗=i=N/summ⎬tiondispl⎬y
i=1V(Xi)/(N2)∗∗=N·p(1−p)/N2=p(1−p)
N,
21Numerical evaluation of Equation D.10 shows that F(P|750H/1000)(0.715) ≈0.0075 and that
F(P|750H/1000)(0.785) ≈0.9967. For N= 100 ,000 (and x= 75 ,000), the same values are achieved
atp=0.7466 and p=0.7536. These results are consistent with the Weak Law of Large Numbers
intuition that for very large N,t h es a m p l em e a nc o n v e r g e st ot h ep o p u l a t i o nm e a n .
©2021 Timothy Falcon Crack 315 All Rights Reserved Worldwide"
29,Question 4.36,"Ad i s e a s eo c c u r sw i t hp r o b a b i l i t y0 . 5 %i nt h ep o p u l a t i o n . T h e r e
is a test for the disease. If you have the disease, the test returns a positive for
sure. If you do not have the disease, the test returns a false positive 7% of the
time. A random stranger is given the test and it returns a positive. What is
the probability that the stranger has the disease?",4.36,Answer 4.36,"This is an old/common interview question. It is a direct applica-
tion of Bayes’ Theorem. Question 4.29 was also a Bayes’ Theorem question.
In that case we tried some informal intuition before doing the math; let us try
that here too.
Most people do not have the disease. If we were to randomly select from the
disease-free population (which is 99.5% of the sample here, so that is not too
©2021 Timothy Falcon Crack 316 All Rights Reserved Worldwide"
30,Question 4.37,"How many diﬀerent ways can you invest $20,000 into ﬁve funds
in increments of $1,000? For example, one way to do it is
($0; $4 ,000; $1 ,000; $2 ,000; $13 ,000).
©2021 Timothy Falcon Crack 84 All Rights Reserved Worldwide",4.37,Answer 4.37,"A“ s t a r sa n db a r s ”a p p r o a c hi st h ee a s i e s t .22Let each star denote
at h o u s a n d - d o l l a ri n v e s t m e n ta n de a c hb a rd e n o t eal i n eo fd e m a r c a t i o nb e -
tween funds. Then *****|********||*******| has 20 stars and four bars to
indicate an allocation of ($5,000;$8,000;$0;$7,000;$0).
There are/p⎬renleft⎭ig24
4/p⎬renright⎭ig=24!
4!(24 −4)!=24·23·22·21
4·3·2·1=1 0,626 ways to allocate the four bars
to the 24 possible locations for the 24 symbols I used. The general answer is/p⎬renleft⎭igN+k−1
k−1/p⎬renright⎭igforN-thousand dollars invested into kfunds. Please conﬁrm that in
the case N=2 0,k= 2 this formula gives the simple answer N+1=2 1 .
A less elegant approach is to consider 20 independent generalized Bernoulli
trials where we roll a ﬁve-sided die and record each result as a ﬁve-tuple with
a 1 in the position corresponding to the die’s outcome and zeroes otherwise.
The ﬁve-tuple containing the cumulative total count of outcomes is distributed
multinomial (DeGroot [1989, p. 297]). The number of possible fungible (i.e., ﬁ-
nancially indistinguishable) allocations of bills to buckets must be the same as
22I thank Chun Han for suggesting this approach to me; any errors are mine.
©2021 Timothy Falcon Crack 317 All Rights Reserved Worldwide"
