,Question Number,Question,Number,Answer Number,Answer
10,Question 1.19,"/_387 You and I are to play a competitive game. We shall take it in
turns to call out integers. The ﬁrst person to call out “50” wins. The rules
are as follows:
1. The player who starts must call out an integer between one and 10,
inclusive;
2. A new number called out must exceed the most recent number called by
at least one and by no more than 10. For example, if the ﬁrst player calls
out “nine,” then the range of valid numbers for the opponent is 10 to 19,
inclusive.
©2021 Timothy Falcon Crack 51 All Rights Reserved Worldwide",1.19,Answer 1.19,"You get the answer by working backwards. If I am your opponent,
and I am able to call out “39,” then you cannot reach 50, but I can after you
say whatever you say. So, my goal is to call out “39. ” However, if I am able
to call out “28,” then you cannot get to 39, but I can after you say whatever
you say. So, my goal is to call out “28. ” To get to 28, I need only to be able
to call out “17,” and to do this, I need only to be able to call out “6.”
So, my strategy, as your opponent, is to get onto the series 6, 17, 28, 39, 50 at
whichever point I can. If you get to go ﬁrst, you should call out “6.” As long
as you know the winning numbers and stick to them, you cannot lose. If you
start with anything other than 6, I cannot lose.
©2021 Timothy Falcon Crack 116 All Rights Reserved Worldwide"
11,Question 1.2,"/_387 Fischer and Myron just stepped side-by-side onto a moving es-
calator. They are climbing up the stairs, and counting steps as they climb.
Myron is climbing more quickly than Fischer. Myron climbs three steps in
the time it takes Fischer to climb only two steps. Neither of them skips any
steps. Myron steps oﬀ at the top, having counted 25 steps. He waits at the
top for the slower Fischer, who steps oﬀ having counted only 20 steps. How
many steps are showing on the escalator at any instant?",1.2,Answer 1.2,"I give three successively shorter solutions. The ﬁrst is a hammer-
and-tongs solution that lays everything out in detail. The second is more
elegant, and the third is more elegant still. Each solution brings something
slightly diﬀerent to the table.
FIRST SOLUT ION
LetDbe the number of steps showing on the escalator at any moment ( D
for distance, counted in units of one step). Let ebe the (assumed constant)
speed of the escalator, in steps per second. Let vMbe Myron’s relative speed
of ascent up the escalator (which is the same whether the steps are moving or
not). If vM= 0, then Myron will climb zero steps under his own steam. If
vM=∞,t h e nM y r o nw i l lc l i m b Dsteps. So, it will be the relative diﬀerences
in speed that let us identify D.
Myron’s absolute speed up the incline holding the escalator is e+vM.S o ,
Myron must cover the distance Din time tM, spent on the escalator, as given
by Equation A.1.
tM=D/(e+vM) (A.1)
How many steps does Myron climb in time tM?W e l l , a t s p e e d vM,w ej u s t
need to multiply time taken by speed, as in Equation A.2.
steps climbed (Myron) = tM·vM=DvM/(e+vM) (A.2)
We should double check that the RHS of Equation A.2 conforms to our intu-
ition. If we plug vM= 0 into Equation A.2 we get zero steps, as expected, for
anye>0. Similarly, if we take the limit of Equation A.2 as vM→∞,w eg e t
Dsteps, for any e≥0.
Now let vFdenote Fischer’s slower speed, where 2 vM=3vF.T h e n , f r o m
Equation A.2 and the relative speeds, we have Equations A.3–A.5.
steps climbed (Myron) = 25 = DvM/(e+vM) (A.3)
steps climbed (Fischer) = 20 = DvF/(e+vF) (A.4)
2vM=3 vF (A.5)
©2021 Timothy Falcon Crack 103 All Rights Reserved Worldwide"
12,Question 1.20,"/_387 You are to open a safe without knowing the combination. Be-
ginning with the dial set at zero, the dial must be turned counter-clockwise to
the ﬁrst combination number, (then clockwise back to zero), and clockwise to
the second combination number, (then counter-clockwise back to zero), and
counter-clockwise again to the third and ﬁnal combination number, whereupon
the door shall immediately spring open; there is no handle or key to turn. The
dial has numbers from zero to 40, and the zero is not one of the combination
numbers.
Without knowing the combination numbers, what is the maximum number of
trials required to open the safe? One trial equals one attempt to dial a full
three-number combination, and you must start again from zero for each trial.
Story: 1. During the interview, an alarm clock went oﬀ from the candidate’s
briefcase. He took it out, shut it oﬀ, apologized, and said he had to leave
for another interview. 2. An applicant came in wearing only one shoe. She
explained that the other shoe was stolen oﬀ her foot in the bus.
Interview Horror Stories from Recruiters
Reprinted by kind permission of MBA Style Magazine
©1996–2021 MBA Style Magazine, www.mbastyle.com",1.2,Answer 1.20,"Safe-cracking in a ﬁnance interview? Yes indeed. The naive an-
swer is that there are 40 possible numbers for the ﬁrst combination, 40 for the
second, and 40 for the third. It would then take at most 403possible trials
to get the safe open. That is 64,000 trials. There are two factors that reduce
this number considerably. The ﬁrst you should have ﬁgured out; the second
you are excused.
The ﬁrst factor is that although three numbers are required to open the safe,
you need only ﬁnd the ﬁrst two of them. If you dial the ﬁrst two numbers
correctly, then you need only turn the dial until the safe pops open. You do
not need to know the last number. This gives 402possible combinations. That
is only 1,600 trials. For extra safe-cracking advice along these lines see Gleick
(1993, pp. 189–190).18
The interviewer in this case suggested a second factor, as follows (and I think it
is a little unfair to any interviewee who is inexperienced in safe-cracking). The
safe is a mechanical device designed with a particular tolerance for inaccuracy.
If the ﬁrst combination number is 14, then dialing either 13, 14, or 15 suﬃces.
This tolerance for inaccuracy brings you down to roughly/p⎬renleft⎜ig
40
3/p⎬renright⎜ig2trials. This
is fewer than 200 trials.
One reader suggested that because you need only ﬁnd a sequence of numbers,
diﬀerent attempts could overlap with other attempts, to reduce the number of
trials needed. If you need to start again at zero every time, however, then this
approach fails. In practice, with real safes, you need to dial clockwise three
times past zero to 75, counter-clockwise two times past zero to 50, clockwise
once past zero to 25, or something like that. So, you need to start anew each
time."
13,Question 1.21,"(**) You are given a set of scales and 90 coins (this question is
similar to Question 1.6). The scales are of the old balance variety. That is, a
small dish hangs from each end of a rod that is balanced in the middle. The
device enables you to conclude either that the contents of the dishes weigh
the same or that the dish that falls lower has heavier contents than the other.
You must pay $100 every time you use the scales.
The 90 coins appear to be identical. In fact, 89 of them are identical, and one
is of a diﬀerent weight. Your task is to identify the unusual coin and to discard
it while minimizing the maximum possible cost of weighing.3What is your
algorithm to complete this task? What is the most it can cost to identify the
unusual coin (assuming your strategy minimizes the maximum possible cost)?
Note that the unusual coin may be heavier than the others, or it may be
lighter. You are asked to both identify it and determine whether it is heavy
or light.4",1.21,Answer 1.21,"To minimize the maximum possible cost of weighing, your strategy
must use the scales as few times as possible, wherever the location of the “bad”
coin. From Answer 1.6, you know that you need three weighings to ﬁnd a bad
coin in a group of 12. You have 90 coins, so it must take at least four weighings.
However, by the same argument, if you had 144 coins (12 groups of 12), you
could identify a bad group of 12 in three weighings and then the bad coin in
another three. So, (because 90 is less than 144) it should take no more than
six weighings—either four, ﬁve, or six weighings.
In fact, it takes only ﬁve weighings (and at most $500) to both ﬁnd the bad
coin and identify it as heavy or light. I present two quite diﬀerent solution
techniques plus a third quasi-solution: the ﬁrst is an ingenious “hammer-
and-tongs” technique, the second is slightly more structured, and the third
generalizes the second but applies only in special cases. In each case, it takes
only ﬁve weighings to both ﬁnd the bad coin and identify it as heavy or light.
18I went to a presentation at MIT at which Jim Gleick (pronounced “Glick”) talked about his then
soon-to-be-published book “Genius. ” He talked about genius in general and Richard P. Feynman
in particular. Feynman was an interesting guy, and this is a good book about him.
©2021 Timothy Falcon Crack 117 All Rights Reserved Worldwide"
14,Question 1.22,"(***) Suppose that the function f(z) is complex valued in the
complex plane. Suppose also that f(z) is both bounded and entire. Prove
3As l i g h t l yd i ﬀ e r e n tt a s ki st om i n i m i z et h ee x p e c t e dc o s to fw e i g h i n g . M i n i m i z i n gt h ee x -
pected cost of weighing does not necessarily minimize the maximum possible cost. This is a subtle
distinction that you should not overlook.
4Does the answer change if you must identify the coin without saying whether it is heavy or
light?
©2021 Timothy Falcon Crack 52 All Rights Reserved Worldwide",1.22,Answer 1.22,"This question is unusually esoteric, but I like it. The result is
known as Liouville’s Theorem. It can be proved directly using Picard’s The-
orem,23or with very slightly more work, using a Cauchy integral.24Ih a v e
23Picard: A non-constant entire function assumes every complex value, with at most one possible
exception. Thus, a bounded function must be a constant.
24Cauchy integral: let C(z0,r)b eac i r c l eo rr a d i u s rabout arbitrary z0∈C,t h e n f′(z0)=
1
2πi/integr⎬ltext
C(z0,r)f(z)
(z−z0)2dz(a contour integral), so |f′(z0)|≤1
rsupz∈C|f(z)|. Bounded fimplies the
RHS tends to zero as r→∞.T h u s , f′(z0)≡0,for arbitrary z0∈C, and fmust be a constant.
©2021 Timothy Falcon Crack 121 All Rights Reserved Worldwide"
15,Question 1.23,"/_387 Ih a v ed r o p p e d1 0 , 0 0 0a n t sr a n d o m l yo n t oar u l e rt h a ti so n e
meter (i.e., 100 centimeters) long and oriented to point north–south. The
ants are of very small size and mass. Each ant walks at a steady pace of
one centimeter per second in a straight line parallel to the long edge of the
ruler. Their initial direction is randomly either north or south. The ants are
all from the same colony and possess an inherited vision problem: they have
peripheral vision only. This means that they can collide with each other if
they meet head on (although very small, they are large enough to collide). If
two ants do collide head on, however, then they each turn around instantly
and head back the way they came at their steady pace. With so many ants in
one small space, a single ant may experience multiple collisions before it walks
oﬀ of the ruler. So, how long must you wait to be sure that all the ants have
walked oﬀ of the ruler?",1.23,Answer 1.23,"After 100 seconds you can be sure that the ants have all walked
oﬀ the ruler. The answer is the same as if the ants had perfect vision. The
key is that if two ants who collide, immediately about face and continue, then
each member of any colliding pair eﬀectively exchanges its exit route with the
other; the ants are fungible. It is just as if one of the colliding pair crawled
over the other and they both kept going without pause.
27This theorem and its proof are adapted from Holland (1973, p. 10), with copyright permission
from Academic Press.
©2021 Timothy Falcon Crack 123 All Rights Reserved Worldwide"
16,Question 1.24,"/_387 You start with a single lily pad sitting on an otherwise empty
pond. You are told that the surface area of the lily pad doubles every day
and that it will take 30 days for the single lily pad to cover the surface of the
pond.6
If instead of one lily pad you start with eight lily pads (each identical in
characteristics to the original single lily pad), how many days will it take for
the surface of the pond to become covered?",1.24,Answer 1.24,"If you can ﬁgure out the correct relationship between the eight
lily pads and the single one, you get the answer. If you do not have it yet, or
you think it is 3.75 days, then you should stop reading now, and go back and
try again. I am serious; this is a nice question, and you lose a great deal by
peeking at the answers to help you out.
The naive answer is that it takes30
8=3.75 days. This is, of course, incorrect.
The lily pads in the question all grow at the same rate. This means that you
may think of the eight lily pads as being equivalent to one big lily pad. Indeed,
when the single lily pad is three days old, it has the same area as the eight
lily pads do at time zero. This means that you may think of the eight lily
pads as a single lily pad that is three days old. It takes another 27 days for a
three-day-old single lily pad to cover the pond, so it also takes 27 days for the
eight lily pads to cover the pond.
The interviewee suggested that I use 3,000 days instead of 30 days as the time
it takes for the single lily pad to cover the pond. The idea was to make the
question more confusing. The problem with this is that, no matter how small
the initial lily pad (assuming it is visible to the naked eye), it will cover the
surface of the Earth within 100 days and the entire solar system not long
after. Within 3,000 days, the universe will be blotted out—such is the power
of compound growth."
17,Question 1.25,"/_387 Another lily pad problem. There are 27 lily pads on a pond.
Each of the lily pads is one square foot in area. The pond is 6,000 square feet
in area. Each lily pad doubles its size every day. How long until the pond is
covered in lily pads?",1.25,Answer 1.25,"You use the same idea as in the previous lily pad question. Each
pad needs to cover6,000
27square feet to choke the pond. The size of each
pad is 2Nafter Ndays, so you need to solve:6,000
27=2N.T h e s o l u t i o n i s
N=log(2,000
9)
log(2)≈7.8d a y s .28
Without a calculator, you can still do it in your head. You calculate6,000
27as
approximately 200. You know that 28is 256, which exceeds 200; whereas 27
is 128, which falls short, so eight days should do the trick."
18,Question 1.26,"/_387 Interviewer: “Alright, you’re from MIT; you must be a quanti-
tative type of person. ” Interviewee: (conﬁdently, after a slight pause) “Yes
indeed. ” Interviewer: “Give me the decimal equivalent of13
16and of9
16.”",1.26,Answer 1.26,"Decimal pricing was introduced on the New York Stock Exchange
in 2001. I have left this question in because there are many people who lived
with eighths and sixteenths for most of their working life, and they may be
tempted to ask you about it. I am still seeing this question being asked every
year.
Most people stumble a little. Do not memorize all the possible sixteenths
before your interview—you have worse things to worry about (much worse).
Add or subtract one-sixteenth to get the requested fraction into quarters or
eighths and then compensate for your adjustment.
You should remember that1
8is 0.1250 and deduce from that that1
16is 0.0625
(you should be able to give anyeighth in decimal form). The fraction13
16is only
one-sixteenth away from12
16which is exactly three quarters (0 .7500). You need
28An interesting aside here is that it does not matter which logarithm function you use. The
result is the same regardless of the base.
©2021 Timothy Falcon Crack 124 All Rights Reserved Worldwide"
19,Question 1.27,"/_387 A snail is climbing up a 10-foot pole. It climbs up by three feet
every day. Each night it sleeps. While sleeping, it slides down by one foot.
When does it reach the top of the pole?
5Recall that an “entire” function is a function that is analytic in the entire ﬁnite complex plane.
Thus, f(z) may be represented by an everywhere-convergent power series: f(z)=/summ⎬tiontext∞
n=0anzn
(Holland [1973, p. 5]).
6The student who was asked this question says that his interviewer used the number 30. However,
he suggested that I use the number 3,000 to make it more complicated. What is wrong with saying
that it takes 3,000 days for the lily pad to cover the pond?
©2021 Timothy Falcon Crack 53 All Rights Reserved Worldwide",1.27,Answer 1.27,"This is a common question. The naive answer is that the snail
climbs a net of two feet per day, so it reaches the 10-foot mark at the end of
the ﬁfth day. However, on the morning of the ﬁfth day, the snail starts out
at the eight-foot mark (having slid down from the nine-foot mark overnight).
Two-thirds of the way through the ﬁfth day, the snail reaches the 10-foot mark
and stops because there is no pole left to climb.
Story: One interviewee was asked, “If you are holding a dinner party, and
you can invite any three dead people (presumably resurrected), who would
you choose? Please do not choose any relatives.” Give it some thought."
20,Question 1.28,"/_387 A windowless room contains three identical light ﬁxtures, each
containing an identical light bulb. Each light ﬁxture is connected to one of
three switches outside of the room. Each bulb is switched oﬀ at present. You
are outside the room, and the door is closed. You may ﬂip any of the external
switches in any manner you choose. After this, you must take your hands oﬀ
the switches and then you may go into the room and do as you please (but
you will not be allowed to damage anything or touch the switches again). How
can you tell which switch goes to which light?",1.28,Answer 1.28,"Here are two answers.29
1. Turn Switch #1 on. Wait a while. Then turn it oﬀ while simultaneously
turning Switch #2 on. Go into the room. The illuminated light corre-
sponds to Switch #2. The warm non-illuminated bulb corresponds to
Switch #1. The cold non-illuminated bulb corresponds to Switch #3.
2. Guess. You have a one-in-six chance if they are random. However, light
switches are not usually random. If you assume the switches are phys-
ically located in an order that relates to the physical placement of the
bulbs (as they usually are), then you have a ﬁfty-ﬁfty chance!"
