Item Number,Content
Answer 1.11,"If not for the ability to stop and dump apples along the way,
you could not deliver any apples at all.12So, the key is to make repeated
trips where you dump apples in a pile at the side of the road and then you
subsequently pick up and deliver apples from that apple dump. For example,
suppose you made three trips where each time you left City A with 1,000
apples and dumped 500 uneaten apples at the 500-mile marker. You would
then have accumulated 1,500 apples at the 500-mile marker and you could
deliver 500 of those to City B (e.g., in one trip of 1,000 apples where 500 are
delivered uneaten, and 500 are left to rot at 500-mile marker).
To ﬁnd the optimal strategy, we must put some bounds on what is sensible.
If you are driving away from City A, or away from an apple dump at the side
of the road, then if there are 1,000 or more apples available, it would never
make sense to leave with fewer than 1,000 apples on the truck. For example,
suppose your very ﬁrst move was to drive away from City A with only 900
apples. Well, no matter where you dump the uneaten balance, you missed
out on giving an extra 100 apples a free ride to that spot, and that must be
suboptimal. So, we should drive away from City A only three times, with
1,000 apples on board each time.
The next question is whether, for any one of these three departures from
City A, we dump the uneaten apples at only one apple dump, or whether we
dump them at more than one location. Suppose on one trip we dump 100
apples at the 100-mile marker, and then the uneaten balance at some later
spot. That cannot be sensible, because again, no matter where you dump the
uneaten balance, you missed out on giving an extra 100 apples a free ride to
that spot. So, we must choose a single dump location for each run.
Could dump locations diﬀer by run? Well, as long as we can get the dump
contents to cumulate to a multiple of 1,000 (see below), they should all be
dumped in the same place. Suppose instead that on the third run we dump
apples beyond the location of the dump from the ﬁrst two runs. Then driving
that odd-lot of apples to a further location unnecessarily burns apples because
it subsequently forces the truck to leave the earlier apple dump with fewer
than 1,000 apples. So, not only must we dump the apples in only one location
on any given trip, but we must dump them at the same location on each trip.
So, where do we dump the apples on the three departures from City A, before
subsequently loading up from that combined dump and carrying them further
on? Well, if we dump them at the k-mile marker, we will end up with a total
12Dumping apples part-way into the journey is akin to the “depoting” of food and supplies that
took place during Antarctic journeys (Scott, 2008).
©2021 Timothy Falcon Crack 112 All Rights Reserved Worldwide"
Answer 1.12,"People have given me answers to this one ranging from 0◦to 75◦
(and many answers in between). The big hand is on the three; the little hand
13If we could slice the apples up, the continuous solution would be to dump them ﬁrst at the
3331
3-mile marker, then again at the 8331
3mile marker, ultimately delivering 8331
3apples.
14IfNis a very big number, and assuming a continuous solution, then using harmonic series
and the Euler-Mascheroni result lim n→∞/⎭r⎬cketleft⎜ig/summ⎬tiontextn
j=11
j−ln(n)/⎭r⎬cketright⎜ig
=γ,where γ≈0.5772156649 is the
Euler-Mascheroni constant, I was able to show that you end up delivering a proportion1
eof your
apples (roughly 36.8%). With N=3( 3 , 0 0 0a p p l e s ) ,w ed e l i v e ro n l y8 3 3a p p l e s( 2 7 . 8 % ) ,b u tt h i s
number rises steadily with N,c o n v e r g i n gt o1
e.
©2021 Timothy Falcon Crack 113 All Rights Reserved Worldwide"
Answer 1.13,"I present three diﬀerent solutions: ﬁrst, an approximation that
draws upon the answer to the previous question; second, an exact algebraic
solution; and, third, an exact and slightly more elegant algebraic solution.
FIRST SOLUT ION
An approximate answer is a great place to start.16There are 360◦around the
clock face. The minute hand therefore travels at 6◦per minute. At 3:15 the
minute hand is 7 .5◦behind the hour hand (from the previous answer). To
travel that distance takes 7 .5/6 = 1 .25 minutes. That is, one minute and 15
seconds, or 75 seconds. So, at 3:16:15 the minute hand will arrive where the
hour hand was 75 seconds ago. Of course, the hour hand will have moved ever
so slightly during that 75 seconds. So, maybe you need to wait another, say,
ﬁve seconds until the two hands are perfectly coincident. That would be at
3:16:20. The exact solutions following are less than two seconds away from
this approximate answer.
SECOND SOLUT ION
The question asks the ﬁrst time after 3 pmwhen the hour and minute hands
of a clock are coincident. More generally, we can ask the ﬁrst time after npm
when the hour and minute hands are coincident, for n=1,2,. . . ,11 (we miss
out the 12 because the hands are not coincident after 12 and before 1).
Assume we start at npm,f o ro n eo f n=1,2,. . . ,11. By the time the minute
hand whips around to the non the dial, the hour hand will have moved slowly
on already. When the minute hand ﬁnally catches up with the hour hand, the
hour hand will have moved by a total of θ(n) degrees past the non the dial,
say. The minute hand whips around the dial 12 times faster than the hour
hand. So, while the hour hand covers θ(n) degrees, the minute hand covers
12·θ(n)d e g r e e s .
We can also state that the minute hand must have covered 30 n+θ(n)d e g r e e s .
That is 30 ndegrees to get around to the non the dial, and another θ(n)d e g r e e s
to ﬁnally catch the hour hand. So, we may write 30 n+θ(n)=1 2 ·θ(n), and
thus, θ(n)=3 0 n/11 degrees.17
15There are 2 πradians in a full circle. Thus, 360◦=2πradians; 180◦=πradians; 90◦=π
2
radians; and so on. It is just another way of measuring angles.
16I thank Eoin Healy for suggesting this approximation; any errors are mine.
17It also follows that θ(n)=n·θ(1) for n=1,2,. . . ,11, where θ(1) = 30/11 degrees.
©2021 Timothy Falcon Crack 114 All Rights Reserved Worldwide"
Answer 1.14,"Well now, this looks pretty complicated the ﬁrst time you see it.
However, there is a simple way to ﬁgure it out. If you think about it, you see
that the only brokers who touch the switch for light bulb number 64 are those
whose numbers are divisors of 64.
That is, light bulb number 64 has its state of illumination changed by brokers
whose numbers are factors of 64. That is, brokers 1, 2, 4, 8, 16, 32, and 64
ﬂip the switch. Because light bulb 64 is originally oﬀ,i tm u s tb et h a ta f t e r
this odd number of switches it is on. See Answer 1.15 for a closely related but
more general solution technique."
Answer 1.15,"If you now know the answer to Question 1.14, you should be able
to ﬁgure this one out swiftly. If you have not yet ﬁgured out Question 1.14,
then read no further—solve that one ﬁrst.
The only way for a light bulb to be illuminated after the 100th person has
passed through is if its switch was ﬂipped an odd number of times. The
switch for light bulb number Kgets ﬂipped only by people whose numbers
are factors of K.T h u s ,t h eo n l yl i g h tb u l b si l l u m i n a t e da tt h ec o n c l u s i o na r e
those with a number that has an odd number of factors.
However, factors for numbers go in pairs. For example, 32 has factors (1 ,32),
(2,16), and (4 ,8). This means that 32 has an even number of factors, and bulb
©2021 Timothy Falcon Crack 115 All Rights Reserved Worldwide"
Answer 1.16,"This is an old favorite. I have tried this out on people and have
received almost all imaginable responses. The answer is three, and it cannot
be anything else. Two socks can be diﬀerent, but a third must match one of
the ﬁrst two—giving a matching pair."
Answer 1.17,"With socks of Ndiﬀerent colors, you must pull ( N+1 ) s o c k s
from the drawer to be sure that you have a matching pair. The argument is
the same as it was for the previous question; Nsocks can be diﬀerent (the
worst-case scenario), but the ( N+1 )stsock must match one of the ﬁrst N
socks—giving a matching pair."
Answer 1.18,"Like the answer to the previous question, ask yourself ﬁrst what is
the worst-case scenario? That is, what is the maximum number of socks you
can select without obtaining the required three matching pairs? Recall that
the counts/colors are 2 red, 4 yellow, 6 purple, 8 brown, 10 white, 12 green,
14 black, 16 blue, 18 gray, and 20 orange socks. You will never be able to get
three-pair of the red or yellow socks because there are too few of them. There
are only eight candidate colors remaining. Thus, the worst-case scenario is
that you select 2 red, 4 yellow, and 5 of each of the remaining eight colors,
giving a total of 46 socks. As soon as you select a 47thsock, however, its color
must match the color of one of the previously selected quintuples in those eight
colors. Thus, you need at least 47 socks to guarantee a matching pair."
Answer 1.19,"You get the answer by working backwards. If I am your opponent,
and I am able to call out “39,” then you cannot reach 50, but I can after you
say whatever you say. So, my goal is to call out “39. ” However, if I am able
to call out “28,” then you cannot get to 39, but I can after you say whatever
you say. So, my goal is to call out “28. ” To get to 28, I need only to be able
to call out “17,” and to do this, I need only to be able to call out “6.”
So, my strategy, as your opponent, is to get onto the series 6, 17, 28, 39, 50 at
whichever point I can. If you get to go ﬁrst, you should call out “6.” As long
as you know the winning numbers and stick to them, you cannot lose. If you
start with anything other than 6, I cannot lose.
©2021 Timothy Falcon Crack 116 All Rights Reserved Worldwide"
Answer 1.20,"Safe-cracking in a ﬁnance interview? Yes indeed. The naive an-
swer is that there are 40 possible numbers for the ﬁrst combination, 40 for the
second, and 40 for the third. It would then take at most 403possible trials
to get the safe open. That is 64,000 trials. There are two factors that reduce
this number considerably. The ﬁrst you should have ﬁgured out; the second
you are excused.
The ﬁrst factor is that although three numbers are required to open the safe,
you need only ﬁnd the ﬁrst two of them. If you dial the ﬁrst two numbers
correctly, then you need only turn the dial until the safe pops open. You do
not need to know the last number. This gives 402possible combinations. That
is only 1,600 trials. For extra safe-cracking advice along these lines see Gleick
(1993, pp. 189–190).18
The interviewer in this case suggested a second factor, as follows (and I think it
is a little unfair to any interviewee who is inexperienced in safe-cracking). The
safe is a mechanical device designed with a particular tolerance for inaccuracy.
If the ﬁrst combination number is 14, then dialing either 13, 14, or 15 suﬃces.
This tolerance for inaccuracy brings you down to roughly/p⎬renleft⎜ig
40
3/p⎬renright⎜ig2trials. This
is fewer than 200 trials.
One reader suggested that because you need only ﬁnd a sequence of numbers,
diﬀerent attempts could overlap with other attempts, to reduce the number of
trials needed. If you need to start again at zero every time, however, then this
approach fails. In practice, with real safes, you need to dial clockwise three
times past zero to 75, counter-clockwise two times past zero to 50, clockwise
once past zero to 25, or something like that. So, you need to start anew each
time."
Answer 1.21,"To minimize the maximum possible cost of weighing, your strategy
must use the scales as few times as possible, wherever the location of the “bad”
coin. From Answer 1.6, you know that you need three weighings to ﬁnd a bad
coin in a group of 12. You have 90 coins, so it must take at least four weighings.
However, by the same argument, if you had 144 coins (12 groups of 12), you
could identify a bad group of 12 in three weighings and then the bad coin in
another three. So, (because 90 is less than 144) it should take no more than
six weighings—either four, ﬁve, or six weighings.
In fact, it takes only ﬁve weighings (and at most $500) to both ﬁnd the bad
coin and identify it as heavy or light. I present two quite diﬀerent solution
techniques plus a third quasi-solution: the ﬁrst is an ingenious “hammer-
and-tongs” technique, the second is slightly more structured, and the third
generalizes the second but applies only in special cases. In each case, it takes
only ﬁve weighings to both ﬁnd the bad coin and identify it as heavy or light.
18I went to a presentation at MIT at which Jim Gleick (pronounced “Glick”) talked about his then
soon-to-be-published book “Genius. ” He talked about genius in general and Richard P. Feynman
in particular. Feynman was an interesting guy, and this is a good book about him.
©2021 Timothy Falcon Crack 117 All Rights Reserved Worldwide"
Answer 1.22,"This question is unusually esoteric, but I like it. The result is
known as Liouville’s Theorem. It can be proved directly using Picard’s The-
orem,23or with very slightly more work, using a Cauchy integral.24Ih a v e
23Picard: A non-constant entire function assumes every complex value, with at most one possible
exception. Thus, a bounded function must be a constant.
24Cauchy integral: let C(z0,r)b eac i r c l eo rr a d i u s rabout arbitrary z0∈C,t h e n f′(z0)=
1
2πi/integr⎬ltext
C(z0,r)f(z)
(z−z0)2dz(a contour integral), so |f′(z0)|≤1
rsupz∈C|f(z)|. Bounded fimplies the
RHS tends to zero as r→∞.T h u s , f′(z0)≡0,for arbitrary z0∈C, and fmust be a constant.
©2021 Timothy Falcon Crack 121 All Rights Reserved Worldwide"
Answer 1.23,"After 100 seconds you can be sure that the ants have all walked
oﬀ the ruler. The answer is the same as if the ants had perfect vision. The
key is that if two ants who collide, immediately about face and continue, then
each member of any colliding pair eﬀectively exchanges its exit route with the
other; the ants are fungible. It is just as if one of the colliding pair crawled
over the other and they both kept going without pause.
27This theorem and its proof are adapted from Holland (1973, p. 10), with copyright permission
from Academic Press.
©2021 Timothy Falcon Crack 123 All Rights Reserved Worldwide"
Answer 1.24,"If you can ﬁgure out the correct relationship between the eight
lily pads and the single one, you get the answer. If you do not have it yet, or
you think it is 3.75 days, then you should stop reading now, and go back and
try again. I am serious; this is a nice question, and you lose a great deal by
peeking at the answers to help you out.
The naive answer is that it takes30
8=3.75 days. This is, of course, incorrect.
The lily pads in the question all grow at the same rate. This means that you
may think of the eight lily pads as being equivalent to one big lily pad. Indeed,
when the single lily pad is three days old, it has the same area as the eight
lily pads do at time zero. This means that you may think of the eight lily
pads as a single lily pad that is three days old. It takes another 27 days for a
three-day-old single lily pad to cover the pond, so it also takes 27 days for the
eight lily pads to cover the pond.
The interviewee suggested that I use 3,000 days instead of 30 days as the time
it takes for the single lily pad to cover the pond. The idea was to make the
question more confusing. The problem with this is that, no matter how small
the initial lily pad (assuming it is visible to the naked eye), it will cover the
surface of the Earth within 100 days and the entire solar system not long
after. Within 3,000 days, the universe will be blotted out—such is the power
of compound growth."
Answer 1.25,"You use the same idea as in the previous lily pad question. Each
pad needs to cover6,000
27square feet to choke the pond. The size of each
pad is 2Nafter Ndays, so you need to solve:6,000
27=2N.T h e s o l u t i o n i s
N=log(2,000
9)
log(2)≈7.8d a y s .28
Without a calculator, you can still do it in your head. You calculate6,000
27as
approximately 200. You know that 28is 256, which exceeds 200; whereas 27
is 128, which falls short, so eight days should do the trick."
Answer 1.26,"Decimal pricing was introduced on the New York Stock Exchange
in 2001. I have left this question in because there are many people who lived
with eighths and sixteenths for most of their working life, and they may be
tempted to ask you about it. I am still seeing this question being asked every
year.
Most people stumble a little. Do not memorize all the possible sixteenths
before your interview—you have worse things to worry about (much worse).
Add or subtract one-sixteenth to get the requested fraction into quarters or
eighths and then compensate for your adjustment.
You should remember that1
8is 0.1250 and deduce from that that1
16is 0.0625
(you should be able to give anyeighth in decimal form). The fraction13
16is only
one-sixteenth away from12
16which is exactly three quarters (0 .7500). You need
28An interesting aside here is that it does not matter which logarithm function you use. The
result is the same regardless of the base.
©2021 Timothy Falcon Crack 124 All Rights Reserved Worldwide"
Answer 1.27,"This is a common question. The naive answer is that the snail
climbs a net of two feet per day, so it reaches the 10-foot mark at the end of
the ﬁfth day. However, on the morning of the ﬁfth day, the snail starts out
at the eight-foot mark (having slid down from the nine-foot mark overnight).
Two-thirds of the way through the ﬁfth day, the snail reaches the 10-foot mark
and stops because there is no pole left to climb.
Story: One interviewee was asked, “If you are holding a dinner party, and
you can invite any three dead people (presumably resurrected), who would
you choose? Please do not choose any relatives.” Give it some thought."
Answer 1.28,"Here are two answers.29
1. Turn Switch #1 on. Wait a while. Then turn it oﬀ while simultaneously
turning Switch #2 on. Go into the room. The illuminated light corre-
sponds to Switch #2. The warm non-illuminated bulb corresponds to
Switch #1. The cold non-illuminated bulb corresponds to Switch #3.
2. Guess. You have a one-in-six chance if they are random. However, light
switches are not usually random. If you assume the switches are phys-
ically located in an order that relates to the physical placement of the
bulbs (as they usually are), then you have a ﬁfty-ﬁfty chance!"
Answer 1.29,"The only way the ﬁrst man can know the color of his own hat is if
he sees the other two wearing red hats—of which there are only two. However,
the ﬁrst man does notknow his hat color, so the other two must be wearing
either both blue or one red and one blue. The second man, upon hearing the
ﬁrst, knows then that he and the third man are either both wearing blue hats,
or one wears a red hat, and one a blue. If he still does not know what color
hat he is wearing, it must be because the third man is wearing a blue hat.
Why? Well, if the third man wears red, then that pinpoints his own hat as
blue since this is the only option left from the choice of either both blue or
one red and one blue. Since the second man does not know his hat color, then
the third man must be wearing blue. The third man, upon hearing the ﬁrst
two, deduces that his own hat is blue via the same reasoning."
Answer 1.30,"You may be looking to the solutions for a hint. My ﬁrst hint is
that, if you are using linear algebra (i.e., solving systems of equations by sub-
stitution) then stop that right now. There are nine equations in 10 unknowns,
so this will get you nowhere. In fact, there are inﬁnitely many integers that
solve the problem statement; we are searching for the smallest such number.
My second hint is that you might like to try drawing a picture.
29I thank Dahn Tamir for assistance on this question; any errors are mine.
©2021 Timothy Falcon Crack 125 All Rights Reserved Worldwide"
